"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"07/16/2026","Buy","TME","TENCENT MUSIC ENTMT GR F","23","$9.29","","-$213.67"
"07/13/2026","Qualified Dividend","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","$131.25"
"07/13/2026","ADR Mgmt Fee","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","-$2.50"
"06/22/2026","Non-Qualified Div","TCEHY","TENCENT HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$67.49"
"06/22/2026","ADR Mgmt Fee","TCEHY","TENCENT HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$7.00"
"06/10/2026","Qualified Dividend","DLO","DLOCAL LTD FCLASS A","","","","$4.72"
"05/11/2026","ADR Mgmt Fee","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","-$2.37"
"12/02/2025","Cash In Lieu","TSLY","TIDAL TR II YIELDMAX TSLA OPT INCOME STRATEGYETF NEW","","","","$22.96"
"12/01/2025","Cash Dividend","88636J444","YIELDMAX TSLA OPT INCXXXREVERSE SPLIT EFF: 12/01/25","","","","$0.29"
"12/01/2025","Reverse Split","88636J444","YIELDMAX TSLA OPT INCXXXREVERSE SPLIT EFF: 12/01/25","-3","","",""
"11/21/2025","Cash Dividend","TSLY","YIELDMAX TSLA OPT INCM STGY ETF","","","","$0.27"
"11/14/2025","Cash Dividend","TSLY","YIELDMAX TSLA OPT INCM STGY ETF","","","","$0.29"
"11/07/2025","Cash Dividend","TSLY","YIELDMAX TSLA OPT INCM STGY ETF","","","","$0.44"
"11/03/2025","Buy","RBLX","ROBLOX CORP CLASS A","87","$107.34","","-$9338.58"
"11/03/2025","Buy","DLO","DLOCAL LTD FCLASS A","4","$14.355","","-$57.42"
"11/03/2025","Sell","MU","MICRON TECHNOLOGY INC","40","$234.00","$0.01","$9359.99"
"10/31/2025","Cash Dividend","TSLY","YIELDMAX TSLA OPT INCM STGY ETF","","","","$0.34"
"10/24/2025","Cash Dividend","TSLY","YIELDMAX TSLA OPT INCM STGY ETF","","","","$0.50"
