

Run Date,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Currency,Price,Quantity,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Cash Balance,Settlement Date
07/20/2026,DIVIDEND RECEIVED as of 2026-07-17 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.46,Processing,""
07/20/2026,REINVESTMENT as of 2026-07-17 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,25.74,0.057,0,"","","","-1.46",Processing,""
07/16/2026,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),"",No Description,Cash,0,"",USD,"",0,0,"","","",141.66,149.66,""
07/15/2026,REINVESTMENT OCCIDENTAL PETE CORP COM (OXY) (Cash),OXY,OCCIDENTAL PETE CORP COM,Cash,0,"",USD,54.5,0.05,0,"","","","-2.71",8,""
07/15/2026,DIVIDEND RECEIVED OCCIDENTAL PETE CORP COM (OXY) (Cash),OXY,OCCIDENTAL PETE CORP COM,Cash,0,"",USD,"",0,0,"","","",2.71,10.71,""
07/15/2026,REINVESTMENT EPR PROPERTIES SBI USD0.01 (EPR) (Cash),EPR,EPR PROPERTIES SBI USD0.01,Cash,0,"",USD,59.83,0.011,0,"","","","-0.63",8,""
07/15/2026,DIVIDEND RECEIVED EPR PROPERTIES SBI USD0.01 (EPR) (Cash),EPR,EPR PROPERTIES SBI USD0.01,Cash,0,"",USD,"",0,0,"","","",0.63,8.63,""
07/13/2026,REINVESTMENT as of 2026-07-10 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,27.5,0.056,0,"","","","-1.54",8,""
07/13/2026,DIVIDEND RECEIVED as of 2026-07-10 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.54,9.54,""
07/09/2026,FEE CHARGED UP FINTECH HOLDING LIMITED SPON ADS ... (TIGR) (Cash),TIGR,UP FINTECH HOLDING LIMITED SPON ADS EACH REP 15 ORD SHS CL A,Cash,0,"",USD,"",0,0,"","","","-0.56",8,""
