Date,Type,Symbol,Quantity,Price,Amount,Description
2026-07-20 16:00:00,Dividend,TSLY,0.0,,1.46,TIDAL TRUST II YIELD TSLA ETF
2026-07-20 16:00:00,Dividend,TSLY,0.057,25.74,-1.46,TIDAL TRUST II YIELD TSLA ETF
2026-07-16 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-07-15 16:00:00,Dividend,OXY,0.05,54.5,-2.71,OCCIDENTAL PETE CORP COM
2026-07-15 16:00:00,Dividend,OXY,0.0,,2.71,OCCIDENTAL PETE CORP COM
2026-07-15 16:00:00,Dividend,EPR,0.011,59.83,-0.63,EPR PROPERTIES SBI USD0.01
2026-07-15 16:00:00,Dividend,EPR,0.0,,0.63,EPR PROPERTIES SBI USD0.01
2026-07-13 16:00:00,Dividend,TSLY,0.056,27.5,-1.54,TIDAL TRUST II YIELD TSLA ETF
2026-07-13 16:00:00,Dividend,TSLY,0.0,,1.54,TIDAL TRUST II YIELD TSLA ETF
2026-07-09 16:00:00,Fee,TIGR,0.0,,-0.56,UP FINTECH HOLDING LIMITED SPON ADS EACH REP 15 ORD SHS CL A
2026-07-07 16:00:00,Dividend,TSLY,0.056,27.68,-1.55,TIDAL TRUST II YIELD TSLA ETF
2026-07-07 16:00:00,Dividend,TSLY,0.0,,1.55,TIDAL TRUST II YIELD TSLA ETF
2026-07-06 16:00:00,Adjustment,TME,16.0,8.81,-140.96,TENCENT MUSIC ENTERTAINMENT GROUP SPON ADS EACH REP 2 ORD SHS CL A
2026-07-02 16:00:00,Adjustment,CRWD,3.0,,581.94,CROWDSTRIKE HLDGS INC CL A
2026-07-01 16:00:00,Adjustment,CASH,0.0,,141.66,NO DESCRIPTION
2026-06-30 16:00:00,Dividend,FDRXX,0.14,1.0,-0.14,FIDELITY GOVERNMENT CASH RESERVES
2026-06-30 16:00:00,Dividend,FDRXX,0.0,,0.14,FIDELITY GOVERNMENT CASH RESERVES
2026-06-29 16:00:00,Dividend,TSLY,0.055,26.41,-1.45,TIDAL TRUST II YIELD TSLA ETF
2026-06-29 16:00:00,Dividend,TSLY,0.0,,1.45,TIDAL TRUST II YIELD TSLA ETF
2026-06-25 16:00:00,Dividend,PYPL,0.01,42.55,-0.42,PAYPAL HLDGS INC COM
2026-06-25 16:00:00,Dividend,PYPL,0.0,,0.42,PAYPAL HLDGS INC COM
