Date,Type,Symbol,Quantity,Price,Amount,Description,Currency
2022-07-26 16:00:00,DividendReinvest,,0.0,0.0,4.6,TDA TRAN - QUALIFIED DIVIDEND (MU),USD
2022-07-26 16:00:00,Transfer,,0.0,0.0,4.6,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT,USD
2022-10-05 16:00:00,Buy,META,14.0,136.94,-1917.16,TDA TRAN - Bought 14 (META) @136.9400,USD
2022-10-05 16:00:00,Transfer,,0.0,0.0,2000.0,TDA TRAN - CORE ACCOUNT MONEY TRANSFER,USD
2022-10-05 16:00:00,Buy,EMBC,3.0,28.9604,-86.88,TDA TRAN - Bought 3 (EMBC) @28.9604,USD
2022-10-06 16:00:00,Transfer,,0.0,0.0,2000.0,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT,USD
2022-10-07 16:00:00,Transfer,,0.0,0.0,-2004.04,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA2) BANK SWEEP WITHDRAWAL,USD
2022-10-26 16:00:00,DividendReinvest,,0.0,0.0,4.6,TDA TRAN - QUALIFIED DIVIDEND (MU),USD
2022-10-26 16:00:00,Transfer,,0.0,0.0,4.6,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT,USD
2023-01-11 16:00:00,DividendReinvest,,0.0,0.0,0.45,TDA TRAN - QUALIFIED DIVIDEND (EMBC),USD
2023-01-11 16:00:00,Transfer,,0.0,0.0,0.45,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT,USD
2023-01-19 16:00:00,DividendReinvest,,0.0,0.0,4.6,TDA TRAN - QUALIFIED DIVIDEND (MU),USD
2023-01-19 16:00:00,Transfer,,0.0,0.0,4.6,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT,USD
2023-03-13 16:00:00,Transfer,,0.0,0.0,0.45,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT,USD
2023-03-13 16:00:00,DividendReinvest,,0.0,0.0,0.45,TDA TRAN - QUALIFIED DIVIDEND (EMBC),USD
2023-04-25 16:00:00,DividendReinvest,,0.0,0.0,4.6,TDA TRAN - QUALIFIED DIVIDEND (MU),USD
2023-04-25 16:00:00,Transfer,,0.0,0.0,4.6,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT,USD
2023-05-08 16:00:00,Fee,,0.0,0.0,-2.5,TDA TRAN - ADR FEE (BABA),USD
2023-05-09 16:00:00,Transfer,,0.0,0.0,-2.5,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA2) BANK SWEEP WITHDRAWAL,USD
2023-06-13 16:00:00,DividendReinvest,,0.0,0.0,0.45,TDA TRAN - QUALIFIED DIVIDEND (EMBC),USD
2023-06-13 16:00:00,Transfer,,0.0,0.0,0.45,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT,USD
2023-07-07 16:00:00,Sell,META,14.0,292.7539,4098.52,TDA TRAN - Sold 14 (META) @292.7539,USD
2023-07-07 16:00:00,Sell,EMBC,3.0,20.08,60.24,TDA TRAN - Sold 3 (EMBC) @20.0800,USD
2023-07-11 16:00:00,Transfer,,0.0,0.0,4158.76,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT,USD
2023-07-25 16:00:00,Transfer,,0.0,0.0,4.6,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA2) BANK SWEEP DEPOSIT,USD
2023-07-25 16:00:00,DividendReinvest,,0.0,0.0,4.6,TDA TRAN - QUALIFIED DIVIDEND (MU),USD
2023-08-16 16:00:00,Buy,TCEHY,100.0,40.95,-4101.95,TDA TRAN - Bought ...100 (TCEHY) @40.9500,USD
2023-08-18 16:00:00,Transfer,,0.0,0.0,-4101.95,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA2) BANK SWEEP WITHDRAWAL,USD
2023-09-05 16:00:00,Transfer,,0.0,0.0,-79.65,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA2) BANK SWEEP WITHDRAWAL,USD
2023-09-05 16:00:00,Transfer,,0.0,0.0,79.65,TDA TO CS&CO TRANSFER,USD
2023-09-05 16:00:00,Transfer,,0.0,0.0,-79.65,TDA TRAN - CASH MOVEMENT OF OUTGOING ACCOUNT TRANSFER,USD
2023-09-18 16:00:00,Interest,,0.0,0.0,0.01,BANK INT ...523 TD BANK USA NA,USD
2023-10-16 16:00:00,Interest,,0.0,0.0,0.03,BANK INT ...523 TD BANK USA NA,USD
2023-10-25 16:00:00,Dividend,MU,0.0,0.0,4.6,MICRON TECHNOLOGY,USD
2023-11-16 16:00:00,Interest,,0.0,0.0,0.03,BANK INT ...523 TD BANK USA NA,USD
